Datum_formiranja;Datum_Primene;Vazi_za;Srednji_kurs
 02.11.2006.; 02.11.2006.;1; 79,0000
 03.11.2006.; 03.11.2006.;1; 79,0000
 03.11.2006.; 04.11.2006.;1; 79,0000
 03.11.2006.; 05.11.2006.;1; 79,0000
 06.11.2006.; 06.11.2006.;1; 79,0500
 07.11.2006.; 07.11.2006.;1; 79,0100
 08.11.2006.; 08.11.2006.;1; 79,0000
 09.11.2006.; 09.11.2006.;1; 79,0000
 10.11.2006.; 10.11.2006.;1; 79,0500
 10.11.2006.; 11.11.2006.;1; 79,0500
 10.11.2006.; 12.11.2006.;1; 79,0500
 13.11.2006.; 13.11.2006.;1; 79,0500
 14.11.2006.; 14.11.2006.;1; 79,0500
 15.11.2006.; 15.11.2006.;1; 79,0500
 16.11.2006.; 16.11.2006.;1; 79,0500
 17.11.2006.; 17.11.2006.;1; 79,0845
 17.11.2006.; 18.11.2006.;1; 79,0845
 17.11.2006.; 19.11.2006.;1; 79,0845
 20.11.2006.; 20.11.2006.;1; 79,0000
 21.11.2006.; 21.11.2006.;1; 78,9450
 22.11.2006.; 22.11.2006.;1; 78,8000
 23.11.2006.; 23.11.2006.;1; 78,8000
 24.11.2006.; 24.11.2006.;1; 78,9000
 24.11.2006.; 25.11.2006.;1; 78,9000
 24.11.2006.; 26.11.2006.;1; 78,9000
 27.11.2006.; 27.11.2006.;1; 78,8000
 28.11.2006.; 28.11.2006.;1; 78,7500
 29.11.2006.; 29.11.2006.;1; 78,6500
 30.11.2006.; 30.11.2006.;1; 78,6500
 01.12.2006.; 01.12.2006.;1; 78,6500
 01.12.2006.; 02.12.2006.;1; 78,6500
 01.12.2006.; 03.12.2006.;1; 78,6500
 04.12.2006.; 04.12.2006.;1; 78,7550
 05.12.2006.; 05.12.2006.;1; 79,1600
 06.12.2006.; 06.12.2006.;1; 79,1600
 07.12.2006.; 07.12.2006.;1; 79,5700
 08.12.2006.; 08.12.2006.;1; 79,5750
 08.12.2006.; 09.12.2006.;1; 79,5750
 08.12.2006.; 10.12.2006.;1; 79,5750
 11.12.2006.; 11.12.2006.;1; 79,8000
 12.12.2006.; 12.12.2006.;1; 79,4000
 13.12.2006.; 13.12.2006.;1; 79,2500
 14.12.2006.; 14.12.2006.;1; 78,7100
 15.12.2006.; 15.12.2006.;1; 78,5000
 15.12.2006.; 16.12.2006.;1; 78,5000
 15.12.2006.; 17.12.2006.;1; 78,5000
 18.12.2006.; 18.12.2006.;1; 78,4000
 19.12.2006.; 19.12.2006.;1; 78,3750
 20.12.2006.; 20.12.2006.;1; 78,3000
 21.12.2006.; 21.12.2006.;1; 78,2500
 22.12.2006.; 22.12.2006.;1; 78,2500
 22.12.2006.; 23.12.2006.;1; 78,2500
 22.12.2006.; 24.12.2006.;1; 78,2500
 25.12.2006.; 25.12.2006.;1; 78,2500
 26.12.2006.; 26.12.2006.;1; 78,2500
 27.12.2006.; 27.12.2006.;1; 78,3000
 28.12.2006.; 28.12.2006.;1; 78,5000
 29.12.2006.; 29.12.2006.;1; 79,0000
 29.12.2006.; 30.12.2006.;1; 79,0000
 29.12.2006.; 31.12.2006.;1; 79,0000
 29.12.2006.; 01.01.2007.;1; 79,0000
 29.12.2006.; 02.01.2007.;1; 79,0000
 03.01.2007.; 03.01.2007.;1; 79,5300
 04.01.2007.; 04.01.2007.;1; 79,8000
 05.01.2007.; 05.01.2007.;1; 80,1000
 05.01.2007.; 06.01.2007.;1; 80,1000
 05.01.2007.; 07.01.2007.;1; 80,1000
 08.01.2007.; 08.01.2007.;1; 80,0000
 09.01.2007.; 09.01.2007.;1; 80,1000
 10.01.2007.; 10.01.2007.;1; 80,1000
 11.01.2007.; 11.01.2007.;1; 80,1100
 12.01.2007.; 12.01.2007.;1; 80,0750
 12.01.2007.; 13.01.2007.;1; 80,0750
 12.01.2007.; 14.01.2007.;1; 80,0750
 15.01.2007.; 15.01.2007.;1; 80,2000
 16.01.2007.; 16.01.2007.;1; 80,3000
 17.01.2007.; 17.01.2007.;1; 80,3000
 18.01.2007.; 18.01.2007.;1; 80,3000
 19.01.2007.; 19.01.2007.;1; 80,2750
 19.01.2007.; 20.01.2007.;1; 80,2750
 19.01.2007.; 21.01.2007.;1; 80,2750
 22.01.2007.; 22.01.2007.;1; 80,1500
 23.01.2007.; 23.01.2007.;1; 79,5000
 24.01.2007.; 24.01.2007.;1; 78,8000
 25.01.2007.; 25.01.2007.;1; 78,6250
 26.01.2007.; 26.01.2007.;1; 78,5125
 26.01.2007.; 27.01.2007.;1; 78,5125
 26.01.2007.; 28.01.2007.;1; 78,5125
 29.01.2007.; 29.01.2007.;1; 78,5050
 30.01.2007.; 30.01.2007.;1; 78,5500
 31.01.2007.; 31.01.2007.;1; 79,0000
 01.02.2007.; 01.02.2007.;1; 78,7550
 02.02.2007.; 02.02.2007.;1; 78,6000
 02.02.2007.; 03.02.2007.;1; 78,6000
 02.02.2007.; 04.02.2007.;1; 78,6000
 05.02.2007.; 05.02.2007.;1; 78,6002
 06.02.2007.; 06.02.2007.;1; 78,6100
 07.02.2007.; 07.02.2007.;1; 79,2050
 08.02.2007.; 08.02.2007.;1; 79,7200
 09.02.2007.; 09.02.2007.;1; 79,8200
 09.02.2007.; 10.02.2007.;1; 79,8200
 09.02.2007.; 11.02.2007.;1; 79,8200
 12.02.2007.; 12.02.2007.;1; 79,7200
 13.02.2007.; 13.02.2007.;1; 79,6000
 14.02.2007.; 14.02.2007.;1; 79,5500
 14.02.2007.; 15.02.2007.;1; 79,5500
 16.02.2007.; 16.02.2007.;1; 79,3900
 16.02.2007.; 17.02.2007.;1; 79,3900
 16.02.2007.; 18.02.2007.;1; 79,3900
 19.02.2007.; 19.02.2007.;1; 79,3500
 20.02.2007.; 20.02.2007.;1; 79,5605
 21.02.2007.; 21.02.2007.;1; 79,5400
 22.02.2007.; 22.02.2007.;1; 79,5401
 23.02.2007.; 23.02.2007.;1; 79,5600
 23.02.2007.; 24.02.2007.;1; 79,5600
 23.02.2007.; 25.02.2007.;1; 79,5600
 26.02.2007.; 26.02.2007.;1; 79,6000
 27.02.2007.; 27.02.2007.;1; 79,8750
 28.02.2007.; 28.02.2007.;1; 79,9900
 01.03.2007.; 01.03.2007.;1; 80,0000
 02.03.2007.; 02.03.2007.;1; 80,3750
 02.03.2007.; 03.03.2007.;1; 80,3750
 02.03.2007.; 04.03.2007.;1; 80,3750
 05.03.2007.; 05.03.2007.;1; 80,8000
 06.03.2007.; 06.03.2007.;1; 81,1314
 07.03.2007.; 07.03.2007.;1; 81,1496
 08.03.2007.; 08.03.2007.;1; 80,9911
 09.03.2007.; 09.03.2007.;1; 80,9809
 09.03.2007.; 10.03.2007.;1; 80,9809
 09.03.2007.; 11.03.2007.;1; 80,9809
 12.03.2007.; 12.03.2007.;1; 80,6771
 13.03.2007.; 13.03.2007.;1; 80,9172
 14.03.2007.; 14.03.2007.;1; 81,0897
 15.03.2007.; 15.03.2007.;1; 81,1100
 16.03.2007.; 16.03.2007.;1; 81,1290
 16.03.2007.; 17.03.2007.;1; 81,1290
 16.03.2007.; 18.03.2007.;1; 81,1290
 19.03.2007.; 19.03.2007.;1; 80,8782
 20.03.2007.; 20.03.2007.;1; 80,7193
 21.03.2007.; 21.03.2007.;1; 80,6840
